OFFICIAL


Date
12/09/2021 10:47:36

Vacancy title,Vacancy reference number,Submission number,Date submitted,SLA deadline,Review started,Review completed,Time taken to review,SLA exceeded by (hours),Outcome,Number of issues reported,Reviewed by,Vacancy submitted by,Employer,Display name,Training provider,Vacancy postcode,Standard / Framework
WbxMmqUTMV_16Aug2021_00172922849 apprenticeship,1000029081,1,08/16/2021 00:21:25,08/17/2021 00:21:24,08/16/2021 00:21:59,08/16/2021 00:22:02,0:00:02,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
PDBuipKnBf_16Aug2021_00235526599 apprenticeship,1000029086,1,08/16/2021 00:26:46,08/17/2021 00:26:46,08/16/2021 00:27:06,08/16/2021 00:27:08,0:00:02,,Approved,0,Dastest2@test.com,Provider,AS Financial Services,AS Financial Services,EDUC8 TRAINING (ENGLAND) LIMITED,CV1 2WT,274 Abattoir worker
MHwNaMRMmB_16Aug2021_00235539997 apprenticeship,1000029087,1,08/16/2021 00:27:19,08/17/2021 00:27:18,08/16/2021 00:27:35,08/16/2021 00:27:36,0:00:01,,Approved,0,Dastest2@test.com,Provider,OUTSIDE  LIMITED,OUTSIDE  LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,S32 1BB,274 Abattoir worker
IYMsBeKdkX_16Aug2021_00294392632 apprenticeship,1000029093,1,08/16/2021 00:31:49,08/17/2021 00:31:48,08/16/2021 00:32:04,08/16/2021 00:32:06,0:00:01,,Referred,0,Dastest2@test.com,Provider,COVENTRY ACCOUNTANTS LTD,COVENTRY ACCOUNTANTS LTD,EDUC8 TRAINING (ENGLAND) LIMITED,CV6 5AQ,274 Abattoir worker
DLfDwZWnvF_16Aug2021_00294384959 apprenticeship,1000029091,1,08/16/2021 00:31:50,08/17/2021 00:31:49,08/16/2021 00:32:04,08/16/2021 00:32:06,0:00:01,,Approved,0,Dastest2@test.com,Provider,COVENTRY ACCOUNTANTS LTD,COVENTRY ACCOUNTANTS LTD,EDUC8 TRAINING (ENGLAND) LIMITED,CV6 5AQ,274 Abattoir worker
CWQizlwcPi_16Aug2021_00364316068 apprenticeship,1000029095,1,08/16/2021 00:38:55,08/17/2021 00:38:54,08/16/2021 00:39:22,08/16/2021 00:39:23,0:00:01,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,BmGVtzThxv_EmployerName,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
Clone Esjj_17Aug2021_00053612864 apprenticeship,1000029098,1,08/17/2021 00:07:20,08/18/2021 00:07:20,08/17/2021 00:07:48,08/17/2021 00:07:50,0:00:01,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,zIgkdmnPij_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone JkKU_17Aug2021_00065357026 apprenticeship,1000029100,1,08/17/2021 00:08:02,08/18/2021 00:08:00,08/17/2021 00:08:19,08/17/2021 00:08:22,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
xUTTvfCzzj_17Aug2021_00053495828 apprenticeship,1000029097,1,08/17/2021 00:09:07,08/18/2021 00:09:06,08/17/2021 00:09:48,08/17/2021 00:09:53,0:00:05,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,AB10 1YP,274 Abattoir worker
Clone PGjo_17Aug2021_00081819449 apprenticeship,1000029101,1,08/17/2021 00:09:44,08/18/2021 00:09:42,08/17/2021 00:10:06,08/17/2021 00:10:08,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,AB10 1YP,274 Abattoir worker
dHpzoqsogb_17Aug2021_00053530081 apprenticeship,1000029099,1,08/17/2021 00:09:58,08/18/2021 00:09:58,08/17/2021 00:10:41,08/17/2021 00:10:43,0:00:01,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,nQudIkzKrN_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
Clone CyGp_17Aug2021_00095123762 apprenticeship,1000029102,1,08/17/2021 00:11:32,08/18/2021 00:11:28,08/17/2021 00:11:51,08/17/2021 00:11:54,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,BS15 1LE,274 Abattoir worker
AGrkEiOoCU_17Aug2021_00195307107 apprenticeship,1000029112,1,08/17/2021 00:22:17,08/18/2021 00:22:15,08/17/2021 00:22:30,08/17/2021 00:22:32,0:00:01,,Approved,0,Dastest2@test.com,Provider,BOSE ACCOUNTANCY  LTD,BOSE ACCOUNTANCY  LTD,EDUC8 TRAINING (ENGLAND) LIMITED,HP13 7NE,274 Abattoir worker
iamLjoLSoT_17Aug2021_00195313557 apprenticeship,1000029110,1,08/17/2021 00:22:49,08/18/2021 00:22:44,08/17/2021 00:23:00,08/17/2021 00:23:02,0:00:01,,Approved,0,Dastest2@test.com,Provider,ESFA LTD,ESFA LTD,EDUC8 TRAINING (ENGLAND) LIMITED,EH6 8HH,274 Abattoir worker
Clone HRUR_18Aug2021_00053820443 apprenticeship,1000029134,1,08/18/2021 00:07:23,08/19/2021 00:07:22,08/18/2021 00:07:45,08/18/2021 00:07:49,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,BS15 1LE,274 Abattoir worker
Clone PvVC_18Aug2021_08115579385 apprenticeship,1000029155,1,08/18/2021 08:13:37,08/19/2021 08:13:35,08/18/2021 08:13:49,08/18/2021 08:13:53,0:00:04,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone nJGG_18Aug2021_12034094904 apprenticeship,1000029201,1,08/18/2021 12:05:27,08/19/2021 12:05:21,08/18/2021 12:05:37,08/18/2021 12:05:41,0:00:03,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,AB10 1YP,274 Abattoir worker
Clone TxIn_18Aug2021_12045606397 apprenticeship,1000029203,1,08/18/2021 12:05:56,08/19/2021 12:05:55,08/18/2021 12:06:12,08/18/2021 12:06:18,0:00:05,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,EQExkMTrff_EmployerName,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
avpZXrAnnp_18Aug2021_12200274976 apprenticeship,1000029219,1,08/18/2021 12:22:44,08/19/2021 12:22:43,08/18/2021 12:22:59,08/18/2021 12:23:01,0:00:02,,Approved,0,Dastest2@test.com,Provider,Coventry City Council,Coventry City Council,EDUC8 TRAINING (ENGLAND) LIMITED,CV1 5RR,274 Abattoir worker
oJoTOibTdz_18Aug2021_12200311923 apprenticeship,1000029217,1,08/18/2021 12:22:45,08/19/2021 12:22:44,08/18/2021 12:23:06,08/18/2021 12:23:09,0:00:03,,Approved,0,Dastest2@test.com,Provider,BOSE ACCOUNTANCY  LTD,BOSE ACCOUNTANCY  LTD,EDUC8 TRAINING (ENGLAND) LIMITED,HP13 7NE,274 Abattoir worker
Clone PrNB_18Aug2021_12575586764 apprenticeship,1000029225,1,08/18/2021 12:59:52,08/19/2021 12:59:51,08/18/2021 13:00:08,08/18/2021 13:00:10,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,JqvWvaxDrl_EmployerName,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
hNzAdWkWTV_18Aug2021_12575596322 apprenticeship,1000029222,1,08/18/2021 13:01:25,08/19/2021 13:01:23,08/18/2021 13:01:52,08/18/2021 13:01:54,0:00:01,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,AB10 1YP,274 Abattoir worker
akcVxLBUZk_18Aug2021_12575589146 apprenticeship,1000029224,1,08/18/2021 13:02:03,08/19/2021 13:02:03,08/18/2021 13:02:55,08/18/2021 13:02:58,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,JqvWvaxDrl_EmployerName,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
qqyonKumFP_18Aug2021_12575603618 apprenticeship,1000029223,1,08/18/2021 13:02:09,08/19/2021 13:02:07,08/18/2021 13:02:50,08/18/2021 13:02:52,0:00:01,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,JTQRbPJwPM_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
Clone OwcP_18Aug2021_13004444642 apprenticeship,1000029226,1,08/18/2021 13:02:12,08/19/2021 13:02:11,08/18/2021 13:02:29,08/18/2021 13:02:31,0:00:01,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone XHgA_18Aug2021_13021442759 apprenticeship,1000029227,1,08/18/2021 13:03:41,08/19/2021 13:03:38,08/18/2021 13:03:57,08/18/2021 13:03:59,0:00:02,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,BS15 1LE,274 Abattoir worker
Clone GFBs_18Aug2021_13025904634 apprenticeship,1000029228,1,08/18/2021 13:04:31,08/19/2021 13:04:26,08/18/2021 13:04:47,08/18/2021 13:04:51,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
xldwHkPmxn_18Aug2021_13055306708 apprenticeship,1000029232,1,08/18/2021 13:10:00,08/19/2021 13:09:58,08/18/2021 13:10:37,08/18/2021 13:10:38,0:00:01,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,XcRnuKJlXM_EmployerName,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
dBPpbLYHGs_18Aug2021_13101346537 apprenticeship,1000029234,1,08/18/2021 13:13:18,08/19/2021 13:13:16,08/18/2021 13:13:41,08/18/2021 13:13:45,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
JbzXBldfqO_18Aug2021_13151135782 apprenticeship,1000029237,1,08/18/2021 13:17:51,08/19/2021 13:17:51,08/18/2021 13:18:09,08/18/2021 13:18:11,0:00:01,,Approved,0,Dastest2@test.com,Provider,AS Financial Services,AS Financial Services,EDUC8 TRAINING (ENGLAND) LIMITED,CV1 2WT,274 Abattoir worker
MRWbEYldYt_18Aug2021_13151135537 apprenticeship,1000029236,1,08/18/2021 13:18:08,08/19/2021 13:18:07,08/18/2021 13:18:21,08/18/2021 13:18:23,0:00:01,,Referred,0,Dastest2@test.com,Provider,ACCOUNT & ABLE LTD,ACCOUNT & ABLE LTD,EDUC8 TRAINING (ENGLAND) LIMITED,TR1 3JJ,274 Abattoir worker
EEfwKQykxL_18Aug2021_13211250106 apprenticeship,1000029243,1,08/18/2021 13:23:40,08/19/2021 13:23:39,08/18/2021 13:23:54,08/18/2021 13:23:55,0:00:01,,Approved,0,Dastest2@test.com,Provider,COVENTRY ACCOUNTANTS LTD,COVENTRY ACCOUNTANTS LTD,EDUC8 TRAINING (ENGLAND) LIMITED,CV6 5AQ,274 Abattoir worker
afbmscCTkE_18Aug2021_13253218798 apprenticeship,1000029246,1,08/18/2021 13:29:31,08/19/2021 13:29:30,08/18/2021 13:30:06,08/18/2021 13:30:10,0:00:04,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,CqczLrTClA_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
ZujjfEYEHE_18Aug2021_13253043242 apprenticeship,1000029248,1,08/18/2021 13:29:39,08/19/2021 13:29:37,08/18/2021 13:30:28,08/18/2021 13:30:31,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
RXUnjfzVpg_18Aug2021_13360205220 apprenticeship,1000029254,1,08/18/2021 13:38:49,08/19/2021 13:38:48,08/18/2021 13:39:14,08/18/2021 13:39:16,0:00:01,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,HdUDJreqwv_EmployerName,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone LnYg_19Aug2021_00051326850 apprenticeship,1000029255,1,08/19/2021 00:06:57,08/20/2021 00:06:57,08/19/2021 00:07:19,08/19/2021 00:07:22,0:00:02,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,BS15 1LE,274 Abattoir worker
mRFDwXCFDZ_19Aug2021_00051226314 apprenticeship,1000029257,1,08/19/2021 00:09:31,08/20/2021 00:09:26,08/19/2021 00:10:08,08/19/2021 00:10:12,0:00:04,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,QZAJkLGFOH_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
Clone PNvt_19Aug2021_00092565939 apprenticeship,1000029260,1,08/19/2021 00:11:24,08/20/2021 00:11:24,08/19/2021 00:11:47,08/19/2021 00:11:51,0:00:04,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,ESFA LTD,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
Clone HTBn_19Aug2021_00102305728 apprenticeship,1000029261,1,08/19/2021 00:12:04,08/20/2021 00:12:03,08/19/2021 00:12:25,08/19/2021 00:12:29,0:00:04,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,BS15 1LE,274 Abattoir worker
Clone XLdv_19Aug2021_00103123912 apprenticeship,1000029262,1,08/19/2021 00:12:08,08/20/2021 00:12:08,08/19/2021 00:12:32,08/19/2021 00:12:35,0:00:02,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
glGOADtYuM_19Aug2021_00135401165 apprenticeship,1000029266,1,08/19/2021 00:18:03,08/20/2021 00:17:58,08/19/2021 00:18:43,08/19/2021 00:18:46,0:00:03,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,NxXchKPpfA_EmployerName,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
pseGJmZfEn_19Aug2021_00133201470 apprenticeship,1000029265,1,08/19/2021 00:18:16,08/20/2021 00:18:15,08/19/2021 00:18:52,08/19/2021 00:18:53,0:00:01,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
woOvTSPekc_19Aug2021_00170496917 apprenticeship,1000029267,1,08/19/2021 00:20:49,08/20/2021 00:20:49,08/19/2021 00:21:27,08/19/2021 00:21:29,0:00:01,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
kCFceTwmRc_19Aug2021_00232336538 apprenticeship,1000029271,1,08/19/2021 00:26:31,08/20/2021 00:26:30,08/19/2021 00:26:51,08/19/2021 00:26:53,0:00:02,,Approved,0,Dastest2@test.com,Provider,COVENTRY ACCOUNTANTS LTD,COVENTRY ACCOUNTANTS LTD,EDUC8 TRAINING (ENGLAND) LIMITED,CV6 5AQ,274 Abattoir worker
SsuMnLKZaX_19Aug2021_00232317505 apprenticeship,1000029272,1,08/19/2021 00:26:43,08/20/2021 00:26:43,08/19/2021 00:27:01,08/19/2021 00:27:03,0:00:02,,Approved,0,Dastest2@test.com,Provider,Coventry City Council,Coventry City Council,EDUC8 TRAINING (ENGLAND) LIMITED,CV1 5RR,274 Abattoir worker
CtrcqXJTcA_19Aug2021_00232307302 apprenticeship,1000029273,1,08/19/2021 00:26:50,08/20/2021 00:26:50,08/19/2021 00:27:07,08/19/2021 00:27:08,0:00:01,,Referred,0,Dastest2@test.com,Provider,TINMAN  LIMITED,TINMAN  LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,SK9 4LY,274 Abattoir worker
pjNzKnEAhh_19Aug2021_00232317894 apprenticeship,1000029270,1,08/19/2021 00:27:22,08/20/2021 00:27:20,08/19/2021 00:27:35,08/19/2021 00:27:37,0:00:01,,Approved,0,Dastest2@test.com,Provider,TINMAN  LIMITED,TINMAN  LIMITED,EDUC8 TRAINING (ENGLAND) LIMITED,SK9 4LY,274 Abattoir worker
XeLDgnYqUr_19Aug2021_00310617756 apprenticeship,1000029277,1,08/19/2021 00:35:12,08/20/2021 00:35:11,08/19/2021 00:35:39,08/19/2021 00:35:41,0:00:01,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,RmyOBTzlsY_EmployerDescription,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
kOiAjjpMKf_19Aug2021_00391594885 apprenticeship,1000029281,1,08/19/2021 00:42:21,08/20/2021 00:42:20,08/19/2021 00:42:46,08/19/2021 00:42:49,0:00:02,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,BS15 1LE,274 Abattoir worker
Clone TpUs_20Aug2021_00045650453 apprenticeship,1000029295,1,08/20/2021 00:06:43,08/23/2021 00:06:38,08/20/2021 00:07:00,08/20/2021 00:07:02,0:00:02,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
iCVwyeGArA_20Aug2021_00045650527 apprenticeship,1000029298,1,08/20/2021 00:08:53,08/23/2021 00:08:48,08/20/2021 00:09:21,08/20/2021 00:09:23,0:00:02,,Approved,0,Dastest2@test.com,Employer,ESFA LTD,CjtFpZvUfw_EmployerName,BALTIC TRAINING SERVICES LIMITED,EH6 8HH,274 Abattoir worker
Clone RFbh_20Aug2021_00074043156 apprenticeship,1000029299,1,08/20/2021 00:09:07,08/23/2021 00:09:03,08/20/2021 00:09:29,08/20/2021 00:09:33,0:00:03,,Approved,0,Dastest2@test.com,Employer,COVENTRY LTD,COVENTRY LTD,BALTIC TRAINING SERVICES LIMITED,N1 7GU,274 Abattoir worker
